name,type,avg_r2,avg_mae,avg_rmse,trend_accuracy,exceed_accuracy,short_r2,medium_r2,long_r2
baseline_lstm_vocs,baseline,0.6506509532531103,0.07181180136588712,0.09241498690212957,0.629274813412053,0.9941749285210353,0.9030642658472061,0.6464516073465347,0.4024369865655899
ensemble_weighted_r2_topk,ensemble,0.6444923457043222,7.254565673285014,9.385434984124588,0.5386083275617399,0.9942306264156549,0.9034736334634814,0.634556511966389,0.3954150242655454
ensemble_mean_topk,ensemble,0.6444913869102796,7.254529416561127,9.385447833268271,0.5386519172183987,0.9942306264156549,0.9034731984138488,0.6345552206039429,0.395413875579834
dlinear_large_single_best.pt,single,0.6429613828659058,7.328420052925746,9.42007553122805,0.5350388190109022,0.9939150050128104,0.9004052877426147,0.633694589138031,0.3947523832321167
dlinear_large_deep_large_256_128_64_best.pt,single,0.6424969161550204,7.2856642206509905,9.425520377848622,0.5325784250572719,0.9942723998366196,0.9013500213623048,0.6319643259048462,0.3941445350646972
dlinear_large_deep_large_96_48_24_best.pt,single,0.6421677693724632,7.344339688618978,9.456885674860604,0.5333581955819461,0.9942306264156549,0.8984963297843933,0.6335378885269165,0.3944369554519653
dlinear_large_grid_03_lr3e-04_k35_e7_best.pt,single,0.6420195226867994,7.170729587475459,9.43445196491075,0.5331644637745737,0.9942723998366196,0.900454044342041,0.6315975189208984,0.3939753174781799
dlinear_large_grid_04_lr1e-03_k15_e5_best.pt,single,0.6415881166855494,7.396608581145604,9.444145880412592,0.5350630354868238,0.9941934944859084,0.8997102975845337,0.6319329142570496,0.3930893540382385
dlinear_large_grid_01_lr3e-04_k15_e3_best.pt,single,0.6412930761774381,7.288644880056381,9.439060958412544,0.5334695913711853,0.9939614199249936,0.9010765552520752,0.6306346654891968,0.3921360373497009
dlinear_large_grid_05_lr1e-03_k25_e7_best.pt,single,0.6411579151948293,7.39045845468839,9.450725363813158,0.5283453850661837,0.9942399093980914,0.9000343680381775,0.6314054727554321,0.3920019865036011
dlinear_large_best.pt,single,0.6399844984213511,7.173915167649587,9.468371431140392,0.5321086254243937,0.9942074189595632,0.8988329172134399,0.6299095153808594,0.391179621219635
ensemble_xgboost_topk,ensemble,0.6380469525853792,7.220319852232933,9.464711295543946,0.5188815862760388,0.9940728157142328,0.9020415544509888,0.6291526556015015,0.3829140663146972
