name,type,model_tag,infer_total_sec,infer_ms_per_window,avg_r2,avg_mae,avg_rmse,trend_accuracy,exceed_accuracy
ensemble_weighted_r2,ensemble,soft_voting_weighted,3.26960623357445,0.3642203668903253,0.6523400047935107,7.142408679791483,9.260355771397665,0.538220863946995,0.994295607292711
ensemble_mean,ensemble,soft_voting_mean,3.2603418566286564,0.36318835430863944,0.6522885809342066,7.142766386270523,9.261166760231575,0.5382014907662578,0.994295607292711
baseline_lstm,single,baseline_lstm_l3_baseline,2.2293247738853097,0.24833739265738106,0.6506509507695833,7.2520124812920885,9.332653316589207,0.5393735682008611,0.9941749285210353
large_single,single,large_256x128,0.33341573365032673,0.03714110879473396,0.6429613828659058,7.328420052925746,9.42007553122805,0.5350388190109022,0.9939150050128105
deep_large_96_48_24,single,large_96x48x24,0.35755545925348997,0.039830172580315244,0.642799494167169,7.248011509577434,9.440490141960554,0.5343026381428869,0.9942399093980914
large_tuned_best,single,large_256x128,0.33970678970217705,0.03784190594877766,0.6420195226867994,7.170729587475459,9.43445196491075,0.5331644637745737,0.9942723998366195
