version,status,trend_acc,avg_r2,exceed_acc,run_dir,checkpoint
v2,ok,0.6221534379836392,0.7147995879252752,0.9543260372908836,20260203_105917,outputs/20260203_105917/models/vocs_seq2seq_v2_best.pth,
v3,ok,0.6281229272606677,0.6524323746562004,0.9547129486329132,20260415_110154,outputs/20260415_071832/models/vocs_seq2seq_v3_best.pth,
v4,ok,0.7606676984302454,0.6335515106717745,0.9568041123148353,20260415_092309,outputs/20260415_092309/models/vocs_seq2seq_v4_best.pth,
v5,ok,0.7606676984302454,0.6335515106717745,0.9568041123148353,20260415_100925,outputs/20260415_100925/models/vocs_seq2seq_v5_best.pth,
v6,ok,0.7616626133097502,0.692653238773346,0.9539575502984745,20260415_074721,outputs/20260419_003810/models/vocs_seq2seq_v6_best.pth,,
