model,type,avg_r2,avg_mae,avg_rmse,trend_accuracy,exceed_accuracy
ensemble_weighted_r2,ensemble,0.6501978961329381,7.072203843372821,9.285923022244697,0.5362593293973488,0.9943930786082953
ensemble_mean,ensemble,0.6501873458425204,7.071858381231626,9.286069320545403,0.5363029190540076,0.9943930786082953
pca_lstm_2layer,single,0.6449006125330925,7.4340535799662275,9.40101209430013,0.5361430903129253,0.9942259849244365
pca_lstm_1layer,single,0.64299392948548,6.993209362030029,9.411472276731729,0.5334260017145265,0.9940728157142327
pca_dlinear_deep_large,single,0.6428187415003777,7.316084921360016,9.455861599597313,0.5315758629541195,0.9942631168541829
pca_dlinear_large,single,0.6392673750718435,7.009685218334198,9.4512832868897,0.5387923727787437,0.9942027774683451
